"Index","Quantity","Part Number","Manufacturer Part Number","Description","Customer Reference","Available","Backorder","Unit Price","Extended Price USD"
"1","1","1738-1006-ND","FIT0367","RASPBERRY PI COPPER HEATSINK","","1","0","1.02000","1.02"
"2","1","HS115-ND","507302B00000G","HEATSINK TO-220 2.5W LOW PROFILE","","1","0","0.23000","0.23"
"3","1","SC1457-ND","35RAPC2AV","CONN JACK MONO 3.5MM R/A","","1","0","1.27000","1.27"
"4","1","CP-202B-ND","PJ-202B","CONN PWR JACK 2.5X5.5MM SOLDER","","1","0","0.60000","0.60"
"5","2","S2012EC-32-ND","PREC032DAAN-RC","CONN HEADER VERT 64POS 2.54MM","","0","2","1.11000","2.22"
"6","1","BC5111-ND","D102K20Y5PH63J5R","CAP CER 1000PF 100V Y5P RADIAL","","1","0","0.18000","0.18"
"7","2","S7100-ND","PPTC322LFBN-RC","CONN HDR 64POS 0.1 TIN PCB","","2","0","3.25000","6.50"
"8","1","	445-173599-1-ND","FG28X7R1H473KNT06","CAP CER 0.047UF 50V","","1","0","0.27","0.27"
"9","1","CF14JT1K00CT-ND","CF14JT1K00","RES 1K OHM 1/4W 5% AXIAL","","1","0","0.10000","0.10"
"10","2","BC1101CT-ND","K104K15X7RF5TH5","CAP CER 0.1UF 50V X7R RADIAL","","2","0","0.23000","0.46"
"11","1","CF14JT10R0CT-ND","CF14JT10R0","RES 10 OHM 1/4W 5% AXIAL","","1","0","0.10000","0.10"
"12","1","445-173594-1-ND","FG28X7R1H224KRT06","CAP CER 0.22UF 50V X7R RADIAL","","1","0","0.30000","0.30"
"13","2","3386F-103TLF-ND","3386F-1-103TLF","TRIMMER 10K OHM 0.5W PC PIN TOP","","2","0","2.48000","4.96"
"14","1","296-1411-5-ND","NE555P","IC OSC SINGLE TIMER 100KHZ 8-DIP","","1","0","0.45000","0.45"
"15","1","497-1443-5-ND","L7805CV","IC REG LINEAR 5V 1.5A TO220AB","","1","0","0.50000","0.50"
"16","1","296-43960-5-ND","LM386N-4/NOPB","IC AMP AUDIO PWR 1W MONO AB 8DIP","","1","0","1.17000","1.17"
"17","1","CF14JT8K20CT-ND","CF14JT8K20","RES 8.2K OHM 1/4W 5% AXIAL","","1","0","0.10000","0.10"
"18","1","296-9518-5-ND","L293DNE","IC MTR DRV BIPOLAR 4.5-36V 16DIP","","1","0","3.68000","3.68"
"19","2","CF14JT10K0CT-ND","CF14JT10K0","RES 10K OHM 1/4W 5% AXIAL","","2","0","0.10000","0.20"
